year,title,winner,gross_us,gross_int,gross,mc_critics,mc_users,url_wiki,url_imdb,url_metacritic
2010,True Grit,no,171243005,81033922,252276927,80,7.7,/wiki/True_Grit_(2010_film),tt1403865,https://www.metacritic.com/movie/true-grit
2010,Winter's Bone,no,6531503,7265331,13796834,90,7.3,/wiki/Winter%27s_Bone,tt1399683,https://www.metacritic.com/film/titles/wintersbone
2011,The Artist,yes,44671682,88799489,133471171,89,8.1,/wiki/The_Artist_(film),tt1655442,https://www.metacritic.com/movie/the-artist
2011,The Descendants,no,82584160,94659025,177243185,84,7.7,/wiki/The_Descendants,tt1033575,https://www.metacritic.com/movie/the-descendants
2011,Extremely Loud & Incredibly Close,no,31847881,23400000,55247881,46,5.9,/wiki/Extremely_Loud_%26_Incredibly_Close_(film),tt0477302,https://www.metacritic.com/movie/extremely-loud-and-incredibly-close
2011,The Help,no,169708112,46931000,216639112,62,7.8,/wiki/The_Help_(film),tt1454029,https://www.metacritic.com/movie/the-help/
2011,Hugo,no,73864507,111905803,185770310,83,7.7,/wiki/Hugo_(film),tt0970179,https://www.metacritic.com/movie/hugo
2011,Midnight in Paris,no,56817045,94855273,151672318,81,8,/wiki/Midnight_in_Paris,tt1605783,https://www.metacritic.com/movie/midnight-in-paris/
2011,Moneyball,no,75605492,34600724,110206216,87,7.9,/wiki/Moneyball_(film),tt1210166,https://www.metacritic.com/movie/moneyball
2011,The Tree of Life,no,13303319,45105928,58409247,85,7,/wiki/The_Tree_of_Life_(film),tt0478304,https://www.metacritic.com/movie/the-tree-of-life
2011,War Horse,no,79884879,97700000,177584879,72,6.7,/wiki/War_Horse_(film),tt1568911,https://www.metacritic.com/movie/war-horse
2012,Argo,yes,136025503,96300000,232325503,86,7.7,/wiki/Argo_(2012_film),tt1024648,https://www.metacritic.com/movie/argo
2012,Amour,no,6739492,22924648,29664140,95,8.1,/wiki/Amour_(2012_film),tt1602620,https://www.metacritic.com/movie/amour/
2012,Beasts of the Southern Wild,no,12795746,8312000,21107746,86,7.5,/wiki/Beasts_of_the_Southern_Wild,tt2125435,https://www.metacritic.com/movie/beasts-of-the-southern-wild
2012,Django Unchained,no,162805434,263268939,426074373,81,8.6,/wiki/Django_Unchained,tt1853728,https://www.metacritic.com/movie/django-unchained
2012,Life of Pi,no,124987023,484029542,609016565,79,7.9,/wiki/Life_of_Pi_(film),tt0454876,https://www.metacritic.com/movie/life-of-pi
2012,Lincoln,no,182207973,93085477,275293450,86,7.5,/wiki/Lincoln_(film),tt0443272,https://www.metacritic.com/movie/lincoln
2012,Les Misérables,no,148809770,293489539,442299309,63,7.4,/wiki/Les_Mis%C3%A9rables_(2012_film),tt1707386,https://www.metacritic.com/movie/les-miserables
2012,Silver Linings Playbook,no,132092958,104319495,236412453,81,8.5,/wiki/Silver_Linings_Playbook,tt1045658,https://www.metacritic.com/movie/silver-linings-playbook
2012,Zero Dark Thirty,no,95720716,37100000,132820716,95,6.9,/wiki/Zero_Dark_Thirty,tt1790885,https://www.metacritic.com/movie/zero-dark-thirty/
2013,12 Years a Slave,yes,56671993,131061209,187733202,96,8,/wiki/12_Years_a_Slave_(film),tt2024544,https://www.metacritic.com/movie/12-years-a-slave
2013,American Hustle,no,150117807,101054000,251171807,90,7.3,/wiki/American_Hustle,tt1800241,https://www.metacritic.com/movie/american-hustle
2013,Captain Phillips,no,107100855,111690956,218791811,82,8.1,/wiki/Captain_Phillips_(film),tt1535109,https://www.metacritic.com/movie/captain-phillips
2013,Dallas Buyers Club,no,27298285,27900000,55198285,77,8.1,/wiki/Dallas_Buyers_Club,tt0790636,https://www.metacritic.com/movie/dallas-buyers-club
2013,Gravity,no,274092705,473957244,748049949,96,7.8,/wiki/Gravity_(2013_film),tt1454468,https://www.metacritic.com/movie/gravity
2013,Her,no,25568251,22949176,48517427,91,8.6,/wiki/Her_(film),tt1798709,https://www.metacritic.com/movie/her
2013,Nebraska,no,17654912,10027960,27682872,86,8,/wiki/Nebraska_(film),tt1821549,https://www.metacritic.com/movie/nebraska
2013,Philomena,no,37709979,62419893,100129872,77,7.9,/wiki/Philomena_(film),tt2431286,https://www.metacritic.com/movie/philomena
